match_id,period_id,timestamp,carrier_id,opponent_id,distance_m,approach_angle_deg,carrier_speed_mps,opponent_speed_mps,closing_speed_mps,second_nearest_dist_m,n_supporting_teammates,dist_to_sideline_m,dist_to_goal_line_m,distance_trend_1s_mps,closing_accel_mps2,opponent_heading_change_deg,third_nearest_dist_m,n_opponents_nearby_10m,seconds_since_prev_event,prev_event_was_pass,carrier_x,carrier_y,sync_error_suspect,label
J03WQQ,2,0:27:10.200000,DFL-OBJ-0028FW,DFL-OBJ-0028HW,4.952746712683784,41.26333713080721,12.57,21.06,3.0064404676276113,14.78254714181558,0,25.009999999999998,99.81,2.619848615207439,1.7875250523666841,1.6051758179772884,17.714180760057747,1,1.433,1,-47.31,8.99,False,0
J03WQQ,2,0:29:15.320000,DFL-OBJ-002FZR,DFL-OBJ-0000NZ,0.5381449618829476,56.75894976673825,2.23,1.28,1.0921055437998535,1.9751708786836648,2,3.0,46.49,1.6294574001751867,-3.785896264121223,18.67240776920679,9.115157705711951,4,0.36,1,-6.01,-31.0,False,0
J03WQQ,2,0:29:16.280000,DFL-OBJ-0028HW,DFL-OBJ-J0130T,1.6744252745345205,32.16558959652569,10.96,8.4,-1.3576360615901129,4.927413114403946,2,9.07,41.8,-0.9864572520218453,-0.990897929569276,140.58121579074805,6.276248879705138,4,1.32,1,-10.7,-24.93,False,0
J03WQQ,2,0:29:21.760000,DFL-OBJ-J01HCH,DFL-OBJ-0026RH,1.6115210206509873,39.07057738425482,26.53,23.3,5.198636150417643,10.319423433506351,2,18.18,50.55,5.333988319922963,-1.4623548380422124,6.806330357175821,11.396885539479634,1,0.336,0,-1.95,15.82,False,0
J03WQQ,2,0:29:22.200000,DFL-OBJ-J01HCH,DFL-OBJ-0026RH,1.1988327656516555,15.112612369797217,26.04,23.75,0.7053666000301057,11.262064641973957,1,15.120000000000001,49.65,3.4604590260265597,-10.36551102204633,5.003430027816379,11.826157448639012,1,0.776,0,-2.85,18.88,False,0
J03WQQ,2,0:29:24.240000,DFL-OBJ-J01HCH,DFL-OBJ-0026RH,4.000049999687504,80.24635021164042,30.45,27.82,-3.375124999218758,14.296562523907626,0,5.219999999999999,37.269999999999996,-2.422964079390196,-3.1898841315644475,8.748495683531814,19.30846964417429,1,1.526,0,-15.23,28.78,False,0
J03WQQ,2,0:30:30.840000,DFL-OBJ-002GN4,DFL-OBJ-00008K,4.965339867521657,30.13604064830922,5.41,17.42,4.170716479158487,11.74652714635266,1,29.14,75.34,4.229185677605728,-0.3661832900086326,9.095379936425502,16.91216426126473,1,0.062,1,22.84,-4.86,False,0
J03WQQ,2,0:30:32.080000,DFL-OBJ-J014L2,DFL-OBJ-00008K,4.9971291758368634,49.371169899833106,14.52,18.57,2.6528241248286966,12.219983633376929,1,32.52,66.65,1.0554487873123906,4.727707421693322,25.058876465390483,14.077989913336351,1,1.302,1,14.15,1.48,False,0
J03WQQ,2,0:30:35.960000,DFL-OBJ-J01HCH,DFL-OBJ-002GMO,3.131597036657174,14.278069746982482,4.08,16.21,3.7633540215324977,10.268032917750118,1,4.030000000000001,48.53,3.2985273789354186,1.1689404314342366,7.768767635150952,13.677733730410166,1,1.004,1,-3.97,29.97,False,0
J03WQQ,2,0:30:41.240000,DFL-OBJ-0026V5,DFL-OBJ-002G5J,3.20657137765558,0.3196384107028265,11.11,21.3,2.8475602340583905,7.21099854389113,1,24.57,65.96000000000001,2.792528554834293,0.08308946316313848,2.184923826084594,11.646561724388878,2,0.997,1,13.46,9.43,False,0
J03WQQ,2,0:30:43.280000,DFL-OBJ-002GN4,DFL-OBJ-00008K,4.920416649024754,10.31339290020349,10.67,18.94,2.854423563304238,11.719428313701993,2,24.36,81.22,2.574181405574304,0.7898197875815693,0.4443666630973124,14.243489740930764,1,0.263,1,28.72,9.64,False,0
J03WQQ,2,0:30:54,DFL-OBJ-0026V5,DFL-OBJ-J01KJ5,4.87483333048423,19.5819500191441,8.74,19.06,3.725333209312871,13.318877580336865,0,14.870000000000001,86.44,3.9257859659062246,-1.6886352228087809,2.928051708566877,18.061107385761257,1,1.423,1,33.94,-19.13,False,0
J03WQQ,2,0:31:00.080000,DFL-OBJ-0026V5,DFL-OBJ-J01KJ5,2.521150531007616,14.191429405212316,12.54,15.3,1.460579732767503,14.33562346045682,0,4.100000000000001,100.9,0.8712674856878495,2.367963866836256,11.245615584214319,17.123810907622165,1,2.41,0,48.4,-29.9,False,0
J03WQQ,2,0:31:01.760000,DFL-OBJ-002GNL,DFL-OBJ-J01L1F,2.8812497288503134,19.14788246437242,6.64,8.71,0.6966383325366932,5.549558541001259,1,13.21,99.3,0.21095013532405815,1.976384549627097,31.1112100454457,7.6598172301955065,3,1.045,1,46.8,-20.79,False,0
J03WQQ,2,0:31:03.520000,DFL-OBJ-002FZR,DFL-OBJ-0000NZ,2.8539446385660687,2.3054681356393707,9.61,7.2,-0.6533012132975347,7.6328369562044225,1,4.920000000000002,90.1,0.44217429132708164,-3.5932112813013477,19.42898405970412,8.184283719422243,3,0.599,0,37.6,-29.08,False,0
J03WQQ,2,0:31:04.840000,DFL-OBJ-0002EL,DFL-OBJ-002G5J,4.9015303732609885,53.297633395757856,18.52,20.33,5.6933186865356396,7.485432519233608,3,15.629999999999999,84.9,4.275555220760677,4.107053467863102,15.876168870617649,11.498578172974257,2,0.214,1,32.4,-18.37,False,0
J03WQQ,2,0:31:05.320000,DFL-OBJ-002G5J,DFL-OBJ-0002EL,2.496096953245204,44.04563235190086,19.77,19.34,4.881835884908665,8.90461678007538,0,17.45,24.46,5.26560389128623,-2.135517588467939,0.4139916870575934,10.643143332681374,2,0.694,1,28.04,-16.55,False,0
J03WQQ,2,0:31:06.160000,DFL-OBJ-0000NZ,DFL-OBJ-0002EL,4.887228253314959,50.69989369823111,8.84,16.6,3.2844493231583916,5.717245840437506,1,8.780000000000001,23.54,2.2880417764469856,3.372340334081758,37.31213328051595,8.398863018290033,3,0.671,0,28.96,-25.22,False,0
